sampleID,siteName,siteID,dateCollected (dd/mm/yy),month,Waterway,timeCollected (hh:mm),highTide (hh:mm),TimeSinceHighTide (hh:mm),tide,collector,latitude..xx.xxxxxx.,longitude..x.xxxxxx.,PlusCode,waterSample,sedimentSample,daysSinceRain,notes,ColiformsNonEC,E.coli,TotalColiforms,entericEnterococci,ESBL,Total_Vancomycin_resistant,Vancomycin_resistant_E.faecilis,method,RIVPACS,MPN
AA62,Tollesbury Rickas Hard,Toll_2,17/08/2023,August,Blackwater,14:00,13:58,00:02,slack,Ian and Rex,51.760025,0.853917,QV63+2H7,1,1,,,80,0,0,0,NA,NA,NA,membrane filtration,,
AA63,Tollesbury Rickas Hard,Toll_2,17/08/2023,August,Blackwater,14:00,13:58,00:02,slack,Ian and Rex,51.760025,0.853917,QV63+2H7,1,1,,,464,0,0,0,NA,NA,NA,membrane filtration,,
AA64,Tollesbury Rickas Hard,Toll_2,17/08/2023,August,Blackwater,14:00,13:58,00:02,slack,Ian and Rex,51.760025,0.853917,QV63+2H7,1,1,,,NC,0,NC,8,NA,NA,NA,membrane filtration,,
AA90,Tollesbury Rickas Hard,Toll_2,21/09/2023,September,Blackwater,16:59,16:44,,,Ian and Rex,51.760025,0.853917,QV63+2H7,1,1,0,,176,48,224,160,48,0,0,membrane filtration,,
AB26,Tollesbury Rickas Hard,Toll_2,19/10/2023,October,Blackwater,15:30,,,,Ian and Rex,51.760025,0.853917,QV63+2H7,1,0,1,,0,0,0,0,NA,NA,NA,membrane filtration,,
AB36,Tollesbury Rickas Hard,Toll_2,16/11/2023,November,Blackwater,13:30,,,,Ian and Rex,51.760025,0.853917,QV63+2H7,1,0,0,,80,0,80,100,10,0,0,membrane filtration,,
AB55,Tollesbury Rickas Hard,Toll_2,14/12/2023,December,Colne,12:20,,,,"Ian, Rex, Caroline",51.760025,0.853917,QV63+2H7,1,0,0,,304,20,324,56,NC,R,R,membrane filtration,,
AB71,Tollesbury Rickas Hard,Toll_2,11/01/2024,January,Blackwater,11:30,,,,"Ian, Rex, Caroline",51.760025,0.853917,QV63+2H7,1,0,3,,NC,0,NC,20,NA,NA,NA,membrane filtration,,
AB87,Tollesbury Rickas Hard,Toll_2,14/02/2024,February,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.760025,0.853917,QV63+2H7,1,0,,,940,0,940,20,NA,NA,NA,membrane filtration,,
AC07,Tollesbury Rickas Hard,Toll_2,13/03/2024,March,Blackwater,14:00,,,,"Ian, Rex, Caroline",51.760025,0.853917,QV63+2H7,1,0,,,380,20,400,60,NA,NA,NA,membrane filtration,,
AC41,Tollesbury Rickas Hard,Toll_2,10/04/2024,April,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.760025,0.853917,QV63+2H7,1,0,,,0,0,0,0,NA,NA,NA,membrane filtration,,
AC54,Tollesbury Rickas Hard,Toll_2,08/05/2024,May,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.760025,0.853917,QV63+2H7,1,0,,,80,0,80,0,NA,NA,NA,membrane filtration,,
AD03,Tollesbury Rickas Hard,Toll_2,26/06/2024,June,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.760025,0.853917,QV63+2H7,1,0,,,,,,,,,,,,
AA65,Tollesbury Fishermans Path,Toll_3,17/08/2023,August,Blackwater,14:10,13:58,00:12,slack,Ian and Rex,51.762087,0.866971,QV68+RQQ,1,1,,,48,0,0,0,NA,NA,NA,membrane filtration,,
AA66,Tollesbury Fishermans Path,Toll_3,17/08/2023,August,Blackwater,14:10,13:58,00:12,slack,Ian and Rex,51.762087,0.866971,QV68+RQQ,1,1,,,48,0,0,0,NA,NA,NA,membrane filtration,,
AA67,Tollesbury Fishermans Path,Toll_3,17/08/2023,August,Blackwater,14:10,13:58,00:12,slack,Ian and Rex,51.762087,0.866971,QV68+RQQ,1,1,,,280,8,8,40,NA,NA,NA,membrane filtration,,
AA91,Tollesbury Fishermans Path,Toll_3,21/09/2023,September,Blackwater,17:05,16:44,,,Ian and Rex,51.762087,0.866971,QV68+RQQ,1,0,0,,80,0,80,16,0,0,0,membrane filtration,,
AB27,Tollesbury Fishermans Path,Toll_3,19/10/2023,October,Blackwater,15:35,,,,Ian and Rex,51.762087,0.866971,QV68+RQQ,1,0,1,,8,8,16,0,NA,NA,NA,membrane filtration,,
AB37,Tollesbury Fishermans Path,Toll_3,16/11/2023,November,Blackwater,12:30,,,,Ian and Rex,51.762087,0.866971,QV68+RQQ,1,0,0,,0,0,0,0,0,0,0,membrane filtration,,
AB56,Tollesbury Fishermans Path,Toll_3,14/12/2023,December,Colne,13:10,,,,"Ian, Rex, Caroline",51.762087,0.866971,QV68+RQQ,1,0,0,,348,24,372,20,NC,R,R,membrane filtration,,
AB72,Tollesbury Fishermans Path,Toll_3,11/01/2024,January,Blackwater,12:00,,,,"Ian, Rex, Caroline",51.762087,0.866971,QV68+RQQ,1,0,3,,40,0,40,0,NA,NA,NA,membrane filtration,,
AB88,Tollesbury Fishermans Path,Toll_3,14/02/2024,February,Blackwater,15:00,,,,"Ian, Rex, Caroline",51.762087,0.866971,QV68+RQQ,1,0,,,760,0,760,200,NA,NA,NA,membrane filtration,,
AC08,Tollesbury Fishermans Path,Toll_3,13/03/2024,March,Blackwater,14:00,,,,"Ian, Rex, Caroline",51.762087,0.866971,QV68+RQQ,1,0,,,220,0,220,10,NA,NA,NA,membrane filtration,,
AC42,Tollesbury Fishermans Path,Toll_3,10/04/2024,April,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.762087,0.866971,QV68+RQQ,1,0,,,80,0,80,0,NA,NA,NA,membrane filtration,,
AC55,Tollesbury Fishermans Path,Toll_3,08/05/2024,May,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.762087,0.866971,QV68+RQQ,1,0,,,120,10,130,0,NA,NA,NA,membrane filtration,,
AD04,Tollesbury Fishermans Path,Toll_3,26/06/2024,June,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.762087,0.866971,QV68+RQQ,1,0,,,,,,,,,,,,
AA68,Tollesbury Woodup Pool,Toll_4,17/08/2023,August,Blackwater,14:20,13:58,00:22,slack,Ian and Rex,51.759044,0.848945,QR5X+JH8,1,1,,,0,0,0,0,NA,NA,NA,membrane filtration,,
AA69,Tollesbury Woodup Pool,Toll_4,17/08/2023,August,Blackwater,14:20,13:58,00:22,slack,Ian and Rex,51.759044,0.848945,QR5X+JH8,1,1,,,0,8,8,0,NA,NA,NA,membrane filtration,,
AA70,Tollesbury Woodup Pool,Toll_4,17/08/2023,August,Blackwater,14:20,13:58,00:22,slack,Ian and Rex,51.759044,0.848945,QR5X+JH8,1,1,,,8,8,8,0,NA,NA,NA,membrane filtration,,
AA92,Tollesbury Woodup Pool,Toll_4,21/09/2023,September,Blackwater,17:09,16:44,,,Ian and Rex,51.759044,0.848945,QR5X+JH8,1,0,0,,96,240,336,16,0,48,48,membrane filtration,,
AB28,Tollesbury Woodup Pool,Toll_4,19/10/2023,October,Blackwater,15:20,,,,Ian and Rex,51.759044,0.848945,QR5X+JH8,1,0,1,,40,0,40,10,NA,NA,NA,membrane filtration,,
AB38,Tollesbury Prentice Hall,Toll_5,16/11/2023,November,Blackwater,14:00,,,,Ian and Rex,51.739934,0.812992,PRQ7+X5H,1,0,0,,360,40,400,680,30,10,10,membrane filtration,,
AB57,Tollesbury Prentice Hall,Toll_5,14/12/2023,December,Colne,13:05,,,,"Ian, Rex, Caroline",51.739934,0.812992,PRQ7+X5H,1,0,0,,160,208,368,24,NC,R,R,membrane filtration,,
AB73,Tollesbury Prentice Hall,Toll_5,11/01/2024,January,Blackwater,11:55,,,,"Ian, Rex, Caroline",51.739934,0.812992,PRQ7+X5H,1,0,3,,420,0,420,11840,NA,NA,NA,membrane filtration,,
AB89,Tollesbury Prentice Hall,Toll_5,14/02/2024,February,Blackwater,15:37,,,,"Ian, Rex, Caroline",51.739934,0.812992,PRQ7+X5H,1,0,,,1900,20,1920,200,NA,NA,NA,membrane filtration,,
AC09,Tollesbury Prentice Hall,Toll_5,13/03/2024,March,Blackwater,14:00,,,,"Ian, Rex, Caroline",51.739934,0.812992,PRQ7+X5H,1,0,,,330,10,340,220,NA,NA,NA,membrane filtration,,
AC43,Tollesbury Prentice Hall,Toll_5,10/04/2024,April,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.739934,0.812992,PRQ7+X5H,1,0,,,150,160,310,10,NA,NA,NA,membrane filtration,,
AC56,Tollesbury Prentice Hall,Toll_5,08/05/2024,May,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.739934,0.812992,PRQ7+X5H,1,0,,,10,0,10,0,NA,NA,NA,membrane filtration,,
AD05,Tollesbury Prentice Hall,Toll_5,26/06/2024,June,Blackwater,14:30,,,,"Ian, Rex, Caroline",51.739934,0.812992,PRQ7+X5H,1,0,,,,,,,,,,,,
AB74,Tollesbury Breach,Toll_6,11/01/2024,January,Blackwater,12:00,,,,"Ian, Rex, Caroline",,,,1,0,3,,240,0,240,80,NA,NA,NA,membrane filtration,,
AB90,Tollesbury Breach,Toll_6,14/02/2024,February,Blackwater,15:45,,,,"Ian, Rex, Caroline",,,,1,0,,,1120,0,1120,980,NA,NA,NA,membrane filtration,,
AC10,Tollesbury Breach,Toll_6,13/03/2024,March,Blackwater,14:00,,,,"Ian, Rex, Caroline",,,,1,0,,,NC,10,NC,0,NA,NA,NA,membrane filtration,,
AC44,Tollesbury Breach,Toll_6,10/04/2024,April,Blackwater,14:30,,,,"Ian, Rex, Caroline",,,,1,0,,,1640,0,1640,40,NA,NA,NA,membrane filtration,,
AC57,Tollesbury Breach,Toll_6,08/05/2024,May,Blackwater,14:30,,,,"Ian, Rex, Caroline",,,,1,0,,,40,0,40,0,NA,NA,NA,membrane filtration,,
AD06,Tollesbury Breach,Toll_6,26/06/2024,June,Blackwater,14:30,,,,"Ian, Rex, Caroline",,,,1,0,,,,,,,,,,,,
AA01,CampusLake,WP_1,05/07/2023,July,NA,14:21,NA,NA,NA,Drew,51.877417,0.948331,VWGX+X88,1,0,0,Rain just before sampling,150,42,192,81,NA,NA,NA,membrane filtration,,
